,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+
98,1,65,14,27,82,87,43,0,0
99,1,65,14,27,82,87,43,0,0
100,1,65,14,27,82,87,43,0,0
101,1,65,14,27,82,87,43,0,0
102,1,65,14,27,82,87,43,0,0
103,1,65,14,27,82,87,43,0,0
104,1,65,14,27,82,87,43,0,0
105,1,65,14,27,82,87,43,0,0
106,1,65,14,27,82,87,43,0,0
107,1,65,14,27,82,87,43,0,0
108,1,65,14,27,82,87,43,0,0
109,1,65,14,27,82,87,43,0,0
110,1,65,14,27,82,87,43,0,0
111,1,65,14,27,82,87,43,0,0
112,1,65,14,27,82,87,43,0,0
113,1,65,14,27,82,87,43,0,0
114,1,65,14,27,82,87,43,0,0
115,1,65,14,27,82,87,43,0,0
116,1,65,14,27,82,87,43,0,0
117,1,65,14,27,82,87,43,0,0
118,1,65,14,27,82,87,43,0,0
119,1,65,14,27,82,87,43,0,0
120,1,65,14,27,82,87,43,0,0
121,1,65,14,27,82,87,43,0,0
122,1,65,14,27,82,87,43,0,0
123,1,65,14,27,82,87,43,0,0
124,1,65,14,27,82,87,43,0,0
125,1,65,14,27,82,87,43,0,0
126,1,65,14,27,82,87,43,0,0
127,1,65,14,27,82,87,43,0,0
128,1,65,14,27,82,87,43,0,0
129,1,65,14,27,82,87,43,0,0
130,1,65,14,27,82,87,43,0,0
131,1,65,14,27,82,87,43,0,0
132,1,65,14,27,82,87,43,0,0
133,1,65,14,27,82,87,43,0,0
134,1,65,14,27,82,87,43,0,0
135,1,65,14,27,82,87,43,0,0
136,1,65,14,27,82,87,43,0,0
137,1,65,14,27,82,87,43,0,0
138,1,65,14,27,82,87,43,0,0
139,1,65,14,27,82,87,43,0,0
140,1,65,14,27,82,87,43,0,0
141,1,65,14,27,82,87,43,0,0
142,1,65,14,27,82,87,43,0,0
143,1,65,14,27,82,87,43,0,0
144,1,65,14,27,82,87,43,0,0
145,1,65,14,27,82,87,43,0,0
146,1,65,14,27,82,87,43,0,0
147,1,65,14,27,82,87,43,0,0
148,1,65,14,27,82,87,43,0,0
149,1,65,14,27,82,87,43,0,0
150,1,65,14,27,82,87,43,0,0
151,1,65,14,27,82,87,43,0,0
152,1,65,14,27,82,87,43,0,0
153,1,65,14,27,82,87,43,0,0
154,1,65,14,27,82,87,43,0,0
155,1,65,14,27,82,87,43,0,0
156,1,65,14,27,82,87,43,0,0
157,1,65,14,27,82,87,43,0,0
158,1,65,14,27,82,87,43,0,0
159,1,65,14,27,82,87,43,0,0
160,1,65,14,27,82,87,43,0,0
161,1,65,14,27,82,87,43,0,0
162,1,65,14,27,82,87,43,0,0
163,1,65,14,27,82,87,43,0,0
164,1,65,14,27,82,87,43,0,0
165,1,65,14,27,82,87,43,0,0
166,1,65,14,27,82,87,43,0,0
167,1,65,14,27,82,87,43,0,0
168,1,65,14,27,82,87,43,0,0
169,1,65,14,27,82,87,43,0,0
170,1,65,14,27,82,87,43,0,0
171,1,65,14,27,82,87,43,0,0
172,1,65,14,27,82,87,43,0,0
173,1,65,14,27,82,87,43,0,0
174,1,65,14,27,82,87,43,0,0
175,1,65,14,27,82,87,43,0,0
176,1,65,14,27,82,87,43,0,0
177,1,65,14,27,82,87,43,0,0
178,1,65,14,27,82,87,43,0,0
179,1,65,14,27,82,87,43,0,0
180,1,65,14,27,82,87,43,0,0
181,1,65,14,27,82,87,43,0,0
182,1,65,14,27,82,87,43,0,0
183,1,65,14,27,82,87,43,0,0
184,1,65,14,27,82,87,43,0,0
185,1,65,14,27,82,87,43,0,0
186,1,65,14,27,82,87,43,0,0
187,1,65,14,27,82,87,43,0,0
188,1,65,14,27,82,87,43,0,0
189,1,65,14,27,82,87,43,0,0
190,1,65,14,27,82,87,43,0,0
191,1,65,14,27,82,87,43,0,0
192,1,65,14,27,82,87,43,0,0
193,1,65,14,27,82,87,43,0,0
194,1,65,14,27,82,87,43,0,0
195,1,65,14,27,82,87,43,0,0
196,1,65,14,27,82,87,43,0,0
197,1,65,14,27,82,87,43,0,0
198,1,65,14,27,82,87,43,0,0
199,1,65,14,27,82,87,43,0,0
200,1,65,14,27,82,87,43,0,0
201,1,65,14,27,82,87,43,0,0
202,1,65,14,27,82,87,43,0,0
203,1,65,14,27,82,87,43,0,0
204,1,65,14,27,82,87,43,0,0
205,1,65,14,27,82,87,43,0,0
206,1,65,14,27,82,87,43,0,0
207,1,65,14,27,82,87,43,0,0
208,1,65,14,27,82,87,43,0,0
209,1,65,14,27,82,87,43,0,0
210,1,65,14,27,82,87,43,0,0
211,1,65,14,27,82,87,43,0,0
212,1,65,14,27,82,87,43,0,0
213,1,65,14,27,82,87,43,0,0
214,1,65,14,27,82,87,43,0,0
215,1,65,14,27,82,87,43,0,0
216,1,65,14,27,82,87,43,0,0
217,1,65,14,27,82,87,43,0,0
218,1,65,14,27,82,87,43,0,0
219,1,65,14,27,82,87,43,0,0
220,1,65,14,27,82,87,43,0,0
221,1,65,14,27,82,87,43,0,0
222,1,65,14,27,82,87,43,0,0
223,1,65,14,27,82,87,43,0,0
224,1,65,14,27,82,87,43,0,0
225,1,65,14,27,82,87,43,0,0
226,1,65,14,27,82,87,43,0,0
227,1,65,14,27,82,87,43,0,0
228,1,65,14,27,82,87,43,0,0
229,1,65,14,27,82,87,43,0,0
230,1,65,14,27,82,87,43,0,0
231,1,65,14,27,82,87,43,0,0
232,1,65,14,27,82,87,43,0,0
233,1,65,14,27,82,87,43,0,0
234,1,65,14,27,82,87,43,0,0
235,1,65,14,27,82,87,43,0,0
236,1,65,14,27,82,87,43,0,0
237,1,65,14,27,82,87,43,0,0
238,1,65,14,27,82,87,43,0,0
239,1,65,14,27,82,87,43,0,0
240,1,65,14,27,82,87,43,0,0
